Date,Sex,Team/ athlete 1 / country,Team/ athlete 2/ country,Sport,Event,Result,Type of result,Position,Qualify?,Record?,
08/03/2012,M,Freddie Evans,United Kingdom,Egidijus Kavaliauskas,Lithuania,Boxing,Men's Welter (69kg) rd of 16,11-Jul,points,,
08/03/2012,W,Wen Tong,China,Maria Suelen Altheman,Brazil,Judo,Women's +78 kg Contest for Bronze Medal B,100-0001,points,,
08/03/2012,M,Andreas Toelzer,Germany,Ihar Makarau,Belarus,Judo,Men's +100 kg Contest for Bronze Medal A,100-0001,points,,
08/03/2012,M,Rafael Silva,Brazil,Thormodur Jonsson,Icl,Judo,Men's +100 kg Elimination rd of 32,100-000,points,,
08/03/2012,W,Melissa Mojica,Puerto Rico,Wojdan Shaherkani,Saudi Arabia,Judo,Women's +78 kg Elimination rd of 32,100-000,points,,
08/03/2012,W,Karina Bryant,United Kingdom,Iryna Kindzerska,Ukraine,Judo,Women's +78 kg Contest for Bronze Medal A,020-011,points,,
08/03/2012,W,Maria Suelen Altheman,Brazil,Gulzhan Issanova,Kazakhstan,Judo,Women's +78 kg Repechage contest,0111-0002,points,,R
08/03/2012,W,Karina Bryant,United Kingdom,Gulzhan Issanova,Kazakhstan,Judo,Women's +78 kg Quarter-final,0102-0011,points,,
08/03/2012,M,Teddy Riner,France,Alexander Mikhaylin,Russian Federation,Judo,Men's +100 kg Final - Gold Medal Contest,0101-0003,points,,
08/03/2012,M,Teddy Riner,France,Sung-Min Kim,"Korea, Republic Of",Judo,Men's +100 kg Semi-final of Table A,010-0003,points,,
08/03/2012,M,Sung-Min Kim,"Korea, Republic Of",Matjaz Ceraj,Slovenia,Judo,Men's +100 kg Elimination rd of 16,002-0001,points,,
08/03/2012,W,Gulzhan Issanova,Kazakhstan,Na-Young Kim,"Korea, Republic Of",Judo,Women's +78 kg Elimination rd of 16,12-Dec,points,,
08/03/2012,M,Rafael Silva,Brazil,Sung-Min Kim,"Korea, Republic Of",Judo,Men's +100 kg Contest for Bronze Medal B,11-Feb,points,,
08/03/2012,W,Mika Sugimoto,Japan,Karina Bryant,United Kingdom,Judo,Women's +78 kg Semi-final of Table B,11-Feb,points,,
08/03/2012,M,"Alexander Mikhaylin, Russia",Russian Federation,Andreas Toelzer,Germany,Judo,Men's +100 kg Semi-final of Table B,11-Feb,points,,
08/03/2012,W,Idalys Ortiz,Cuba,Wen Tong,China,Judo,Women's +78 kg Semi-final of Table A,001-0001,points,,
08/03/2012,M,Rafael Silva,Brazil,Barna Bor,Hungary,Judo,Men's +100 kg Repechage contest,01-Jan,points,,R
08/03/2012,W,Idalys Ortiz,Cuba,Mika Sugimoto,Japan,Judo,Women's +78 kg Final - Gold Medal Contest,000-0001,points,,
08/03/2012,W,Masempe Theko,Lesotho,Swimming,Women's 50m Freestyle Heats,42.35,time,73,,,
08/03/2012,W,Adzo Kpossi,Togo,Swimming,Women's 50m Freestyle Heats,37.55,time,72,,,
08/03/2012,W,Nafissatou Moussa Adamou,Nge,Swimming,Women's 50m Freestyle Heats,37.29,time,71,,,
08/03/2012,W,Mhasin Fadlalla,Sudan,Swimming,Women's 50m Freestyle Heats,35.07,time,70,,,
08/03/2012,W,Aminata Aboubakar Yacoub,Congo,Swimming,Women's 50m Freestyle Heats,34.64,time,69,,,
08/03/2012,W,Sara Alflaij,Bahrain,Swimming,Women's 50m Freestyle Heats,33.81,time,68,,,
08/03/2012,W,Elsie Uwamahoro,Burundi,Swimming,Women's 50m Freestyle Heats,33.14,time,67,,,
08/03/2012,W,Assita Toure,Ivc,Swimming,Women's 50m Freestyle Heats,33.09,time,66,,,
08/03/2012,W,Yanet Seyoum Gebremedhin,Ethiopia,Swimming,Women's 50m Freestyle Heats,32.41,time,65,,,
08/03/2012,W,Aminath Shajan,Maldives,Swimming,Women's 50m Freestyle Heats,32.23,time,64,,,
08/03/2012,W,Angelika Ouedraogo,Burkina Faso,Swimming,Women's 50m Freestyle Heats,32.19,time,63,,,
08/03/2012,W,Fatoumata Samassekou,Mali,Swimming,Women's 50m Freestyle Heats,31.88,time,62,,,
08/03/2012,W,Mariana Henriques,Angola,Swimming,Women's 50m Freestyle Heats,31.36,time,61,,,
08/03/2012,W,Katerina Izmaylova,Tajikistan,Swimming,Women's 50m Freestyle Heats,31.27,time,60,,,
08/03/2012,W,Nada Mohammed W S Arakji,Qatar,Swimming,Women's 50m Freestyle Heats,30.89,time,59,,,
08/03/2012,W,Alphonsine Agahozo,Rwanda,Swimming,Women's 50m Freestyle Heats,30.72,time,58,,,
08/03/2012,W,Vitiny Hemthon,Cambodia,Swimming,Women's 50m Freestyle Heats,30.44,time,57,,,
08/03/2012,W,Debra Daniel,"Micronesia, Federated States Of",Swimming,Women's 50m Freestyle Heats,30.32,time,56,,,
08/03/2012,W,Bamab Napo,Togo,Athletics,Women's 100m rd 1,12.35,metres,56,,,
08/03/2012,W,Saruba Colley,Gambia,Athletics,Women's 100m rd 1,12.06,metres,55,,NR,
08/03/2012,W,Karin O'reilly Clashing,Antigua and Barbuda,Swimming,Women's 50m Freestyle Heats,30.01,time,55,,,
08/03/2012,W,Yee Pui Fong,Hong Kong,Athletics,Women's 100m rd 1,11.98,metres,54,,,
08/03/2012,W,Celeste Brown,Cook Islands,Swimming,Women's 50m Freestyle Heats,29.36,time,54,,,
08/03/2012,W,Diane Borg,Malta,Athletics,Women's 100m rd 1,11.92,metres,53,,SB,
08/03/2012,W,Antoinette Guedia Mouafo,Cameroon,Swimming,Women's 50m Freestyle Heats,29.28,time,53,,,
08/03/2012,W,Lorene Bazolo,Congo,Athletics,Women's 100m rd 1,11.9,metres,52,,,
08/03/2012,W,Jamila Lunkuse,Uganda,Swimming,Women's 50m Freestyle Heats,28.44,time,52,,,
08/03/2012,W,Sabine Hazboun,Pal,Swimming,Women's 50m Freestyle Heats,28.28,time,51,,,
08/03/2012,W,Kaina Martinez,Belize,Athletics,Women's 100m rd 1,11.89,metres,51,,,
08/03/2012,W,Keesha Keane,Palau,Swimming,Women's 50m Freestyle Heats,28.25,time,50,,,
08/03/2012,M,Juan Diego Angeloni,Argentina,Shooting,50m Rifle Prone Men's Qualification,580,points,50,,,
08/03/2012,W,Feta Ahamada,Comoros,Athletics,Women's 100m rd 1,11.86,metres,50,,,
08/03/2012,*,Yassine Rahmouni,Morocco,Equestrian,Dressage Individual Grand Prix,64.453,points,49,,,
08/03/2012,M,Serhiy Kulish,Ukraine,Shooting,50m Rifle Prone Men's Qualification,583,points,49,,,
08/03/2012,W,Delphine Atangana,Cameroon,Athletics,Women's 100m rd 1,11.82,metres,49,,,
08/03/2012,W,Ann-Marie Hepler,Mhl,Swimming,Women's 50m Freestyle Heats,28.06,time,49,,,
08/03/2012,*,Louisa Hill,New Zealand,Equestrian,Dressage Individual Grand Prix,65.258,points,48,,,
08/03/2012,W,Faye Sultan,Kuwait,Swimming,Women's 50m Freestyle Heats,27.92,time,48,,,
08/03/2012,M,Dane Kevin Sampson,Australia,Shooting,50m Rifle Prone Men's Qualification,583,points,48,,,
08/03/2012,W,Dana Abdul Razak,Iraq,Athletics,Women's 100m rd 1,11.81,metres,48,,,
08/03/2012,W,Yuliya Balykina,Belarus,Athletics,Women's 100m rd 1,11.7,metres,47,,,
08/03/2012,M,Mangala Samarakoon,Sri Lanka,Shooting,50m Rifle Prone Men's Qualification,585,points,47,,,
08/03/2012,*,Luiza Tavares De Almeida,Brazil,Equestrian,Dressage Individual Grand Prix,65.866,points,47,,,
08/03/2012,W,Judith Meauri,Papua New Guinea,Swimming,Women's 50m Freestyle Heats,27.84,time,47,,,
08/03/2012,M,Ilia Ignatev,Kir,Sailing,Laser - Men's One Person Dinghy - Race 08,47,points,47,,,
08/03/2012,*,Svetlana Kiseliova,Ukraine,Equestrian,Dressage Individual Grand Prix,66.763,points,46,,,
08/03/2012,M,Mustafa Cakir,Turkey,Sailing,Laser - Men's One Person Dinghy - Race 07,46,points,46,,,
08/03/2012,W,Maria Belibasaki,Greece,Athletics,Women's 100m rd 1,11.63,metres,46,,,
08/03/2012,M,Maoulida Daroueche,Comoros,Athletics,Men's 400m Hurdles rd 1,53.49,metres,46,,,
08/03/2012,W,Joyce Tafatatha,Malawi,Swimming,Women's 50m Freestyle Heats,27.74,time,46,,,
08/03/2012,M,Cyril Graff,France,Shooting,50m Rifle Prone Men's Qualification,586,points,46,,,
08/03/2012,M,Andrew Lewis,Trinidad and Tobago,Sailing,Laser - Men's One Person Dinghy - Race 08,46,points,46,,,
08/03/2012,W,Zamzam Mohamed Farah,Somalia,Athletics,Women's 400m rd 1,01:20.5,metres,45,,,
08/03/2012,W,Talita Baqlah,Jordan,Swimming,Women's 50m Freestyle Heats,27.45,time,45,,,
08/03/2012,W,Nimet Karakus,Turkey,Athletics,Women's 100m rd 1,11.62,metres,45,,,
08/03/2012,M,Nedzad Fazlija,Bosnia and Herzegovina,Shooting,50m Rifle Prone Men's Qualification,587,points,45,,,
08/03/2012,*,Michal Rapcewicz,Poland,Equestrian,Dressage Individual Grand Prix,66.915,points,45,,,
08/03/2012,M,Khairulnizam Mohd Afendy,Malaysia,Sailing,Laser - Men's One Person Dinghy - Race 08,45,points,45,,,
08/03/2012,M,Damien Desprat,Monaco,Sailing,Laser - Men's One Person Dinghy - Race 07,45,points,45,,,
08/03/2012,M,Andres Silva,Uruguay,Athletics,Men's 400m Hurdles rd 1,53.38,metres,45,,,
08/03/2012,W,Zourah Ali,Djibouti,Athletics,Women's 400m rd 1,01:05.4,metres,44,,,
08/03/2012,W,Tahesia Harrigan-Scott,"Virgin Islands, British",Athletics,Women's 100m rd 1,11.59,metres,44,,SB,
08/03/2012,M,Sergey Richter,Israel,Shooting,50m Rifle Prone Men's Qualification,587,points,44,,,
08/03/2012,*,Minna Telde,Sweden,Equestrian,Dressage Individual Grand Prix,67.477,points,44,,,
08/03/2012,M,Michele Regolo,Italy,Sailing,Laser - Men's One Person Dinghy - Race 07,44,points,44,,,
08/03/2012,M,Jose Ruiz Durango,"Venezuela, Bolivarian Republic Of",Sailing,Laser - Men's One Person Dinghy - Race 08,44,points,44,,,
08/03/2012,W,Jessica Teixeira Vieira,Mozambique,Swimming,Women's 50m Freestyle Heats,27.39,time,44,,,
08/03/2012,M,Cornel Fredericks,South Africa,Athletics,Men's 400m Hurdles rd 1,52.29,metres,44,,,
08/03/2012,W,Yomara Hinestroza,Colombia,Athletics,Women's 100m rd 1,11.56,metres,43,,SB,
08/03/2012,M,Viktor Leptikov,Kazakhstan,Athletics,Men's 400m Hurdles rd 1,51.67,metres,43,,,
08/03/2012,M,Rokas Milevicius,Lithuania,Sailing,Laser - Men's One Person Dinghy - Race 08,43,points,43,,,
08/03/2012,M,Rabiou Guero Gao,Nge,Athletics,Men's 1500m rd 1,04:05.5,metres,43,,,
08/03/2012,M,Peter Hellenbrand,Netherlands,Shooting,50m Rifle Prone Men's Qualification,588,points,43,,,
08/03/2012,W,Nicola Muscat,Malta,Swimming,Women's 50m Freestyle Heats,27.22,time,43,,,
08/03/2012,*,Mary Hanna,Australia,Equestrian,Dressage Individual Grand Prix,67.964,points,43,,,
08/03/2012,W,Hristina Risteska,"Macedonia, The Former Yugoslav Republic Of",Athletics,Women's 400m rd 1,01:00.9,metres,43,,,
08/03/2012,M,David Wright,Canada,Sailing,Laser - Men's One Person Dinghy - Race 07,43,points,43,,,
08/03/2012,M,Rokas Milevicius,Lithuania,Sailing,Laser - Men's One Person Dinghy - Race 07,42,points,42,,,
08/03/2012,W,Phobay Kutu-Akoi,Liberia,Athletics,Women's 100m rd 1,11.52,metres,42,,,
08/03/2012,W,Miroslava Najdanovski,Srb,Swimming,Women's 50m Freestyle Heats,26.46,time,42,,,
